Dilution;1.5;SIK;21-02-2020;09:02;;
S.100 Plate;Source Plate 1;;MWP 96;20XXXX-LIB0000X-Flex library pool;;Eppi
DispenseToWaste=True;DispenseToWasteCycles=3;DispenseToWasteVolume=1e-7;UseDeionization=True;OptimizationLevel=ReorderAndParallel;WasteErrorHandling=Ask;
Source Well;Target Well;volume [µL];Liqued Name;;;
A1;A1;;Metagenome1;;;
B1;B1;;Metagenome2;;;
C1;C1;;Metagenome3;;;
D1;D1;;Metagenome4;;;
E1;A1;;Metagenome5;;;
F1;B1;;Metagenome6;;;
G1;C1;;Metagenome7;;;
H1;D1;;Metagenome8;;;
A2;A1;;Metagenome9;;;
B2;B1;;Metagenome10;;;
C2;C1;;Metagenome11;;;
D2;D1;;Metagenome12;;;
E2;A1;;Metagenome13;;;
F2;B1;;Metagenome14;;;
G2;C1;;Metagenome15;;;
H2;D1;;Metagenome16;;;
A3;A1;;Metagenome17;;;
B3;B1;;Metagenome18;;;
C3;C1;;Metagenome19;;;
D3;D1;;Metagenome20;;;
E3;A1;;Metagenome21;;;
F3;B1;;Metagenome22;;;
G3;C1;;Metagenome23;;;
H3;D1;;Metagenome24;;;
A4;A1;;Metagenome25;;;
B4;B1;;Metagenome26;;;
C4;C1;;Metagenome27;;;
D4;D1;;Metagenome28;;;
E4;A1;;Metagenome29;;;
F4;B1;;Metagenome30;;;
G4;C1;;Metagenome31;;;
H4;D1;;Metagenome32;;;
A5;A1;;Metagenome33;;;
B5;B1;;Metagenome34;;;
C5;C1;;Metagenome35;;;
D5;D1;;Metagenome36;;;
E5;A1;;Metagenome37;;;
F5;B1;;Metagenome38;;;
G5;C1;;Metagenome39;;;
H5;D1;;Metagenome40;;;
A6;A1;;Metagenome41;;;
B6;B1;;Metagenome42;;;
C6;C1;;Metagenome43;;;
D6;D1;;Metagenome44;;;
E6;A1;;Metagenome45;;;
F6;B1;;Metagenome46;;;
G6;C1;;Metagenome47;;;
H6;D1;;Metagenome48;;;
A7;A1;;Metagenome49;;;
B7;B1;;Metagenome50;;;
C7;C1;;Metagenome51;;;
D7;D1;;Metagenome52;;;
E7;A1;;Metagenome53;;;
F7;B1;;Metagenome54;;;
G7;C1;;Metagenome55;;;
H7;D1;;Metagenome56;;;
A8;A1;;Metagenome57;;;
B8;B1;;Metagenome58;;;
C8;C1;;Metagenome59;;;
D8;D1;;Metagenome60;;;
E8;A1;;Metagenome61;;;
F8;B1;;Metagenome62;;;
G8;C1;;Metagenome63;;;
H8;D1;;Metagenome64;;;
A9;A1;;Metagenome65;;;
B9;B1;;Metagenome66;;;
C9;C1;;Metagenome67;;;
D9;D1;;Metagenome68;;;
E9;A1;;Metagenome69;;;
F9;B1;;Metagenome70;;;
G9;C1;;Metagenome71;;;
H9;D1;;Metagenome72;;;
A10;A1;;Metagenome73;;;
B10;B1;;Metagenome74;;;
C10;C1;;Metagenome75;;;
D10;D1;;Metagenome76;;;
E10;A1;;Metagenome77;;;
F10;B1;;Metagenome78;;;
G10;C1;;Metagenome79;;;
H10;D1;;Metagenome80;;;
A11;A1;;Metagenome81;;;
B11;B1;;Metagenome82;;;
C11;C1;;Metagenome83;;;
D11;D1;;Metagenome84;;;
E11;A1;;Metagenome85;;;
F11;B1;;Metagenome86;;;
G11;C1;;Metagenome87;;;
H11;D1;;Metagenome88;;;
A12;A1;;Metagenome89;;;
B12;B1;;Metagenome90;;;
C12;C1;;Metagenome91;;;
D12;D1;;Metagenome92;;;
E12;A1;;Metagenome93;;;
F12;B1;;Metagenome94;;;
